timestamp,value
2026-05-15T22:00:00,200
2026-05-15T22:00:15,213
2026-05-15T22:00:30,209
2026-05-15T22:00:45,216
2026-05-15T22:01:00,215
2026-05-15T22:01:15,225
2026-05-15T22:01:30,224
2026-05-15T22:01:45,225
2026-05-15T22:02:00,229
2026-05-15T22:02:15,230
2026-05-15T22:02:30,235
2026-05-15T22:02:45,235
2026-05-15T22:03:00,232
2026-05-15T22:03:15,238
2026-05-15T22:03:30,236
2026-05-15T22:03:45,231
2026-05-15T22:04:00,234
2026-05-15T22:04:15,226
2026-05-15T22:04:30,228
2026-05-15T22:04:45,224
2026-05-15T22:05:00,222
2026-05-15T22:05:15,216
2026-05-15T22:05:30,218
2026-05-15T22:05:45,210
2026-05-15T22:06:00,213
2026-05-15T22:06:15,201
2026-05-15T22:06:30,200
2026-05-15T22:06:45,196
2026-05-15T22:07:00,194
2026-05-15T22:07:15,190
2026-05-15T22:07:30,192
2026-05-15T22:07:45,189
2026-05-15T22:08:00,184
2026-05-15T22:08:15,175
2026-05-15T22:08:30,176
2026-05-15T22:08:45,174
2026-05-15T22:09:00,180
2026-05-15T22:09:15,178
2026-05-15T22:09:30,170
2026-05-15T22:09:45,174
2026-05-15T22:10:00,172
2026-05-15T22:10:15,181
2026-05-15T22:10:30,180
2026-05-15T22:10:45,178
2026-05-15T22:11:00,181
2026-05-15T22:11:15,188
2026-05-15T22:11:30,192
2026-05-15T22:11:45,188
2026-05-15T22:12:00,197
2026-05-15T22:12:15,202
2026-05-15T22:12:30,200
2026-05-15T22:12:45,211
2026-05-15T22:13:00,212
2026-05-15T22:13:15,216
2026-05-15T22:13:30,218
2026-05-15T22:13:45,223
2026-05-15T22:14:00,227
2026-05-15T22:14:15,227
2026-05-15T22:14:30,225
2026-05-15T22:14:45,235
2026-05-15T22:15:00,231
2026-05-15T22:15:15,230
2026-05-15T22:15:30,235
2026-05-15T22:15:45,232
2026-05-15T22:16:00,236
2026-05-15T22:16:15,229
2026-05-15T22:16:30,233
2026-05-15T22:16:45,235
2026-05-15T22:17:00,226
2026-05-15T22:17:15,229
2026-05-15T22:17:30,228
2026-05-15T22:17:45,221
2026-05-15T22:18:00,216
2026-05-15T22:18:15,218
2026-05-15T22:18:30,213
2026-05-15T22:18:45,201
2026-05-15T22:19:00,202
2026-05-15T22:19:15,201
2026-05-15T22:19:30,197
2026-05-15T22:19:45,192
2026-05-15T22:20:00,193
2026-05-15T22:20:15,181
2026-05-15T22:20:30,178
2026-05-15T22:20:45,182
2026-05-15T22:21:00,174
2026-05-15T22:21:15,181
2026-05-15T22:21:30,170
2026-05-15T22:21:45,176
2026-05-15T22:22:00,177
2026-05-15T22:22:15,175
2026-05-15T22:22:30,171
2026-05-15T22:22:45,175
2026-05-15T22:23:00,174
2026-05-15T22:23:15,181
2026-05-15T22:23:30,178
2026-05-15T22:23:45,181
2026-05-15T22:24:00,187
2026-05-15T22:24:15,192
2026-05-15T22:24:30,195
2026-05-15T22:24:45,200
2026-05-15T22:25:00,203
2026-05-15T22:25:15,206
2026-05-15T22:25:30,212
2026-05-15T22:25:45,217
2026-05-15T22:26:00,213
2026-05-15T22:26:15,219
2026-05-15T22:26:30,224
2026-05-15T22:26:45,230
2026-05-15T22:27:00,233
